"","Departement","Latitude.la.plus.au.nord","Latitude.la.plus.au.sud","Longitude.la.plus.a.l.est","Longitude.la.plus.a.l.ouest","X","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"58","59",51.08854370897,49.969186662527,4.2279959931456,2.0677049871716,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
"59","60",49.758309270134,49.060452516659,3.162641421643,1.6895744511517,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60","61",48.972557592954,48.181599665308,0.9762713097259,-0.86036021134895,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"61","62",51.006501514321,50.020975633738,3.1883563131291,1.5577948179294,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"62","63",46.255486133208,45.287121578381,3.9844000097893,2.388014020679,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63","64",43.596401195938,42.777515930774,0.02629551293813,-1.7908870919282,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
"64","65",43.609311711216,42.674921018438,0.64553925526757,-0.3270823405503,NA,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
"65","66",42.918339638726,42.33364688988,3.1747892794105,1.7256472450279,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"66","67",49.077884925649,48.120371112534,8.2303986615424,6.9403717864006,NA,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
"67","68",48.310471263573,47.422198455938,7.6220859200517,6.8428287756472,NA,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
"68","69",46.303994122044,45.45503324486,5.1592030475156,4.243469905983,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
"69","70",48.023714993889,47.253139353829,6.8235333222471,5.3727580571009,NA,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
"70","71",47.155410810959,46.156946471815,5.4622983197648,3.6225898833129,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"71","72",48.482954540393,47.569104805534,0.91379809767445,-0.44786007819229,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
"72","73",45.93845768164,45.051837207667,7.1842712160815,5.6230208703548,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"73","74",46.408081546332,45.682198985672,7.0438913499404,5.8074048290847,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
